Rk,Gcar,Gtm,Date,Team,Opp,Type,Result,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,86,1,2024-11-07,Connecticut,Boston University,REG (Non-Conf),W 86-32,24,5,9,0.556,1,3,0.333,4,6,0.667,0.611,2,2,1,0,4,4,7,5,1,0,0,13,20.5
2,87,2,2024-11-10,Connecticut,South Florida,REG (Non-Conf),W 86-49,28,9,10,0.9,2,3,0.667,7,7,1,1,2,3,0.667,0,3,3,1,2,0,1,2,22,20
3,88,3,2024-11-15,Connecticut,North Carolina,REG (Non-Conf),W 69-58,37,12,21,0.571,4,8,0.5,8,13,0.615,0.667,1,2,0.5,0,4,4,4,2,0,0,1,29,24.3
4,89,4,2024-11-20,Connecticut,FDU,REG (Non-Conf),W 85-41,25,6,13,0.462,1,5,0.2,5,8,0.625,0.5,3,3,1,3,6,9,5,2,0,1,0,16,17.7
5,90,5,2024-11-25,Connecticut,Oregon State,REG (Non-Conf),W 71-52,29,9,13,0.692,3,5,0.6,6,8,0.75,0.808,2,2,1,1,2,3,6,1,0,1,0,23,23
6,91,6,2024-11-27,Connecticut,Ole Miss,REG (Non-Conf),W 73-60,38,11,17,0.647,2,4,0.5,9,13,0.692,0.706,5,6,0.833,0,4,4,4,3,1,5,1,29,23.4
7,92,7,2024-12-03,Connecticut,Holy Cross,REG (Non-Conf),W 88-52,28,4,9,0.444,2,4,0.5,2,5,0.4,0.556,1,2,0.5,0,7,7,5,3,0,1,2,11,12.7
8,93,8,2024-12-07,Connecticut,Louisville,REG (Non-Conf),W 85-52,26,2,11,0.182,1,6,0.167,1,5,0.2,0.227,3,4,0.75,3,7,10,6,0,0,1,1,8,7.7
9,94,9,2024-12-12,Connecticut,Notre Dame,REG (Non-Conf),L 68-79,37,11,20,0.55,0,4,0,11,16,0.688,0.55,3,4,0.75,1,2,3,2,2,0,3,2,25,15.9
10,95,10,2024-12-15,Connecticut,Georgetown,REG (Conf),W 79-44,28,11,16,0.688,2,3,0.667,9,13,0.692,0.75,0,0,,0,2,2,2,3,2,1,0,24,22.6
11,96,11,2024-12-17,Connecticut,Iowa State,REG (Non-Conf),W 101-68,29,10,15,0.667,5,7,0.714,5,8,0.625,0.833,2,2,1,1,1,2,2,0,0,2,1,27,20.5
12,97,12,2024-12-21,Connecticut,Southern California,REG (Non-Conf),L 70-72,36,9,22,0.409,2,8,0.25,7,14,0.5,0.455,2,4,0.5,2,1,3,2,1,0,1,4,22,10.9
13,98,13,2024-12-29,Connecticut,Providence,REG (Conf),W 67-41,27,8,12,0.667,1,4,0.25,7,8,0.875,0.708,6,6,1,1,3,4,4,2,0,0,1,23,23.8
14,99,14,2025-01-01,Connecticut,Marquette,REG (Conf),W 77-45,26,4,12,0.333,2,5,0.4,2,7,0.286,0.417,2,2,1,0,4,4,1,2,2,2,3,12,7.3
15,100,15,2025-01-05,Connecticut,Villanova,REG (Conf),W 83-52,25,7,11,0.636,1,3,0.333,6,8,0.75,0.682,0,0,,0,3,3,9,3,1,0,1,15,20.6
16,101,18,2025-01-15,Connecticut,St. John's (NY),REG (Conf),W 71-45,23,4,7,0.571,0,2,0,4,5,0.8,0.571,4,4,1,0,5,5,0,2,0,2,0,12,10.2
17,102,19,2025-01-19,Connecticut,Seton Hall,REG (Conf),W 96-36,23,6,10,0.6,4,6,0.667,2,4,0.5,0.8,2,2,1,1,1,2,7,1,0,1,0,18,19.3
